times,angle_sun,angle_mercury,angle_venus,angle_mars,angle_jupiter,angle_saturn,angle_uranus,dist_sun,dist_mercury,dist_venus,dist_mars,dist_jupiter,dist_saturn,dist_uranus
76896000,-0.3187440339,-0.3367174502,-0.3566196291,0.90601178,1.0153504832,0.4042778904,0.1443199416,145765413494.199,214396989883.635,254226504977.576,232423404442.445,815615348239.508,1605814540057.05,3132741029373.55
77760000,-0.1388923122,-0.0581647721,-0.1357340065,1.0135813958,1.0383504325,0.4222258805,0.1538716171,145649770241.519,213955612336.331,254381862473.461,242949937947.037,838119163789.72,1620763364193.01,3142138506774.81
78624000,0.0411345711,0.2176504228,0.0852470886,1.1247040504,1.0651135982,0.4413855022,0.1638018017,145624132346.148,205281526621.835,254025624989.256,252962725091.879,859222949014.686,1632319513975.39,3147404761139.87
79488000,0.2211126054,0.4905168738,0.3061640714,1.2389403474,1.0951097424,0.4614138136,0.1738916371,145689378549.587,187269722164.743,253159362444.154,262436163328.61,878467627487.698,1640206932935.37,3148393680324.32
80352000,0.4008196372,0.7413778304,0.5268561659,1.3559136544,1.1278189967,0.4819640997,0.1839197736,145843346550.026,158023768135.981,251776079326.148,271356776770.741,895463438750.198,1644245547654.23,3145082969888.78
81216000,0.5800439471,0.881618918,0.747163153,1.4752959596,1.1627414176,0.5026895961,0.193666979,146080924719.048,120349306427.037,249860855971.769,279722230942.157,909890197438.915,1644352505229.93,3137573882154.17
82080000,0.7585921981,0.7580579363,0.9669270812,1.5967973236,1.1994015601,0.523246404,0.2029206377,146394271652.374,97076627947.1394,247392122046.951,287540253248.817,921496142635.068,1640541370197.5,3126087335622.87
82944000,0.9362962864,0.6048357726,1.1859936313,1.7201579693,1.2373495963,0.5432958629,0.2114791569,146773151168.94,108305769752.158,244343481111.911,294827400106.884,930095693143.422,1632919514256.86,3110956699255.58
83808000,1.1130187851,0.6625673886,1.4042130248,1.8451423019,1.2761600618,0.562506654,0.2191563038,147205351945.389,133695276064.439,240685966490.129,301607659587.284,935566380653.06,1621684003452.19,3092617639960.86
84672000,1.2886567329,0.8394914008,1.6214403588,1.9715343597,1.3154289741,0.5805569438,0.2257855032,147677160130.667,157901176184.183,236390573661.204,307910910063.694,937845224548.737,1607116315710.25,3071595493608.18
85536000,1.4631437469,1.0711473339,1.8375352787,2.0991343321,1.3547698198,0.5971369156,0.2312241124,148173865613.781,177678037123.377,231430904893.154,313771280866.395,936924825057.636,1589576205567.2,3048490627030.7
86400000,1.6364505669,1.3375770949,2.0523608206,2.2277559025,1.3938087504,0.6119520826,0.2353576628,148680272382.892,192626272093.31,225785723450.85,319225468794.218,932849453438.202,1569494956207.94,3023962212380.79
87264000,1.8085842286,1.6360302595,2.2657813158,2.3572242502,1.4321792325,0.6247278166,0.2381040105,149181189605.857,201882568789.206,219441230722.416,324311069974.887,925711412899.879,1547368133550.33,2998710760833.53
88128000,1.9795860702,1.9682572311,2.4776589115,2.4873745765,1.4695163596,0.6352155277,0.2394172672,149661886782.735,202288964028.399,212392955989.263,329064976779.039,915647924534.762,1523747799502.17,2973459695445.59
